,index,Similarity_Type,Number of Clusters (input),Number of clusters(output),Affinity Type,Word/Sentence,File_Name,Clusters,Mismatch Metric,Match Metric,M
79,80,num_word_similarity,16,6,cosine,word-based,n50_de_bc,"[7, 7, 7, 7, 7, 7, 7, 7, 1, 3, 0, 7, 7, 7, 7, 0, 11, 7, 7, 7, 7, 3, 7, 7, 3, 7, 3, 7, 3, 7, 3, 7, 7, 7, 7, 7, 7, 7, 3, 7, 6, 7, 7, 7, 3, 7, 7, 7, 11, 7]",1287.0,143.0,2.0
80,81,num_word_similarity,18,18,nearest_neighbors,sentence-based,n50_de_bc,"[ 0 17  4 11  1  7  1 10 16  1  1  1 10  5 13  6  1  8  3  0  5 14  5  3  0
  7  7  7 15  4 14  1  1  3 17  6  3 12  1  9  2 14 17  6  0  2 10 12  1  8]",299.0,59.0,2.5
81,82,num_word_similarity,18,11,nearest_neighbors,word-based,n50_de_bc,"[6, 6, 7, 6, 7, 6, 6, 15, 4, 6, 0, 16, 13, 13, 0, 2, 6, 0, 0, 4, 15, 0, 5, 15, 6, 15, 0, 4, 6, 2, 0, 4, 6, 15, 6, 0, 6, 6, 8, 1, 5, 0, 6, 2, 2, 6, 6, 6, 6, 5]",559.0,63.0,3.0
82,83,num_word_similarity,18,18,precomputed,sentence-based,n50_de_bc,"[ 8 11  0  0  8 15 14 17  6  8  8  8 17  5  8  8  8  1  5  4  5  3 14 13  4
  6  2  7  8  4  3  8  8  1  7 12  9 11  8  2 10  3 10  8  4  6 10 16  8  1]",359.0,65.0,2.0
83,84,num_word_similarity,18,13,precomputed,word-based,n50_de_bc,"[9, 1, 1, 1, 15, 1, 17, 1, 1, 1, 0, 14, 1, 1, 13, 1, 8, 1, 1, 1, 1, 8, 17, 1, 1, 1, 1, 17, 2, 6, 5, 11, 8, 1, 1, 1, 1, 1, 3, 8, 1, 17, 17, 13, 2, 1, 1, 1, 3, 1]",805.0,121.0,1.0
84,85,num_word_similarity,18,18,rbf,sentence-based,n50_de_bc,"[ 3  8  3  3 15 10 16  3  3  3 15  3  6  1  3  3 13  2  3  3  9  3  3  3  3
  3  3  5  3  3  3  3  3 12 17  3  4  3  3  3  3  3 14  3  3  3 11  7 13  0]",977.0,105.0,1.0
85,86,num_word_similarity,18,3,rbf,word-based,n50_de_bc,"[12, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 0, 12, 0, 12, 0, 5, 0, 0, 0, 12, 12, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 12, 12, 12, 0, 0, 0, 12, 0, 12, 0, 0, 0, 0, 12, 12]",1231.0,133.0,14.0
86,87,num_word_similarity,18,18,sigmoid,sentence-based,n50_de_bc,"[ 0 12  0  0 16  3  0  9  0 14  0  0  9  7  9  0  9  1 13  0  8  0  0 10  0
  0  0  6  9  0  0 15  0  0  4  0 11  5  9  0  0  0  2  0  9  0  0  0 17  0]",811.0,93.0,1.0
87,88,num_word_similarity,18,4,sigmoid,word-based,n50_de_bc,"[0, 0, 0, 8, 8, 0, 0, 0, 0, 8, 0, 8, 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 0, 8, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 0]",1505.0,171.0,4.0
88,89,num_word_similarity,18,18,polynomial,sentence-based,n50_de_bc,"[16  5  0  0  0  6  7 10  0  0  0  0  4  9  0  0  0  8  5  0  1  0  0 14  0
 17  0  3  0  0  0  0  0  2 11 17 15 12  0 17  0  0 12  0  0  0 12  7  0 13]",817.0,77.0,1.0
89,90,num_word_similarity,18,7,polynomial,word-based,n50_de_bc,"[14, 14, 13, 13, 13, 1, 14, 14, 1, 3, 0, 1, 14, 14, 14, 1, 1, 14, 13, 14, 14, 2, 14, 1, 14, 13, 14, 13, 14, 1, 1, 10, 14, 14, 14, 1, 14, 1, 1, 14, 14, 14, 14, 13, 14, 14, 14, 14, 14, 14]",947.0,107.0,1.0
90,91,num_word_similarity,18,18,poly,sentence-based,n50_de_bc,"[16  1 13 13 13  7  5  9 13 13 13 13  0 10 13 13 13 11  1 13  3 13 13 17 13
 15 15 12 13 13 13 13 13  6  4 15  2  2 13 15 13 13 14 15  2 13 14  5 13  8]",691.0,73.0,1.0
91,92,num_word_similarity,18,4,poly,word-based,n50_de_bc,"[17, 17, 8, 8, 1, 17, 17, 17, 8, 17, 0, 17, 17, 17, 1, 8, 17, 17, 17, 8, 17, 8, 17, 17, 17, 17, 8, 8, 8, 8, 8, 17, 1, 17, 17, 17, 17, 17, 1, 8, 8, 17, 17, 8, 8, 17, 17, 17, 17, 17]",1079.0,133.0,9.5
92,93,num_word_similarity,18,18,linear,sentence-based,n50_de_bc,"[ 5  9  7 11  2  8  0  2 14  9  2  2  1  9 15 10  2  3  9  2 17  5  0  9  1
  4  4  8 16 13  5  2  2  3  8  4  2  9  2  4 12  5  1  4  1  6  1  0  2  3]",333.0,65.0,1.0
93,94,num_word_similarity,18,5,linear,word-based,n50_de_bc,"[4, 0, 4, 4, 0, 4, 4, 0, 0, 1, 0, 1, 4, 4, 0, 0, 2, 4, 0, 0, 0, 0, 4, 4, 0, 0, 0, 4, 0, 0, 0, 3, 0, 4, 0, 0, 0, 4, 0, 0, 1, 0, 0, 4, 4, 0, 0, 0, 1, 0]",1077.0,105.0,4.0
94,95,num_word_similarity,18,18,cosine,sentence-based,n50_de_bc,"[ 2  4 15  4  6 13 16  1 10  6  6  3  1 13 12  9  6  8 13 11 17  2 15  6  6
  9  9  5 12 11  2  6 12  8  5  7  0  4 12  9 14  2 14  9 15 10 14  5  6  8]",273.0,61.0,3.0
95,96,num_word_similarity,18,11,cosine,word-based,n50_de_bc,"[11, 9, 10, 2, 2, 2, 9, 11, 4, 3, 0, 2, 2, 2, 1, 9, 5, 9, 4, 1, 9, 8, 2, 6, 9, 2, 1, 4, 2, 1, 9, 4, 5, 2, 6, 2, 2, 5, 5, 9, 4, 10, 2, 2, 2, 6, 11, 2, 2, 2]",527.0,73.0,3.0
96,97,num_word_similarity,20,20,nearest_neighbors,sentence-based,n50_de_bc,"[ 1  8 11 15  0 18  0 10 14  0  0  0  2 10  0 16  0  7  8  3 10  1 13  5  6
 19  4 18 12 11  1  0  0 10 18  2  0  3  0  4  9  1  8  2 17  9 18  3  0  7]",329.0,59.0,2.0
97,98,num_word_similarity,20,10,nearest_neighbors,word-based,n50_de_bc,"[1, 3, 0, 3, 3, 3, 3, 3, 4, 2, 0, 3, 3, 3, 3, 8, 4, 3, 15, 3, 3, 0, 6, 3, 1, 3, 3, 8, 3, 15, 4, 3, 3, 15, 3, 3, 3, 3, 2, 3, 8, 1, 7, 3, 3, 9, 3, 3, 4, 4]",845.0,105.0,3.0
98,99,num_word_similarity,20,20,precomputed,sentence-based,n50_de_bc,"[ 4 11  4  4  4  5 13 15  4  4  4  4 15 10  4  4  4  3 19 16  2  1  4  8 12
  4  4  6  4  4  1  4  4  3  6 17  7 11  4  4 14  1 14  0  4  4  9 18  4 18]",631.0,73.0,1.0
99,100,num_word_similarity,20,10,precomputed,word-based,n50_de_bc,"[6, 1, 3, 3, 9, 6, 6, 12, 0, 1, 0, 6, 6, 10, 6, 0, 3, 12, 6, 6, 6, 3, 10, 1, 1, 18, 6, 1, 6, 1, 3, 11, 12, 6, 12, 6, 6, 6, 1, 2, 6, 0, 6, 6, 6, 0, 6, 6, 3, 6]",667.0,77.0,3.0
100,101,num_word_similarity,20,20,rbf,sentence-based,n50_de_bc,"[ 0  6  0  0 15  9 13  0  0  0 15  0  2  3  0  0 11 17  0  0  7  0  0  0  0
  0  0  5  0  0  0 19 18  1 10  0 16  0 18  0  0  0  4  0  0  0  8 12 11 14]",821.0,97.0,1.0
101,102,num_word_similarity,20,6,rbf,word-based,n50_de_bc,"[3, 3, 7, 7, 0, 3, 3, 3, 3, 3, 0, 3, 3, 3, 7, 7, 3, 7, 3, 3, 3, 3, 3, 12, 3, 0, 7, 3, 3, 3, 3, 12, 3, 3, 12, 3, 3, 3, 1, 12, 7, 3, 3, 7, 3, 12, 3, 3, 6, 7]",1051.0,115.0,4.0
102,103,num_word_similarity,20,20,sigmoid,sentence-based,n50_de_bc,"[ 0 15  0 19 14  5  0 16  0 10  0  2 16 11 16  0 16  1 13  0  4  0  0  7  0
  0  0 12 16  0  0 17 18  0  8  0  3  6 16  0  0  0  9  0 16  0  0  0  0  0]",725.0,85.0,1.0
103,104,num_word_similarity,20,5,sigmoid,word-based,n50_de_bc,"[3, 3, 0, 0, 3, 3, 3, 3, 7, 3, 0, 2, 3, 3, 3, 3, 2, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 1, 2, 2, 3, 2, 3, 3, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",1311.0,133.0,3.0
104,105,num_word_similarity,20,20,polynomial,sentence-based,n50_de_bc,"[18 10  1  1  1 14  9  7  1  1  1  1 11 15  1  1  1  8 10  1  2  1  1  6  1
 19 19 13  1  1  1  1  1  3  5  4 12 16  1 19  1  1  0 19  1  1 16  9  1 17]",729.0,71.0,1.0
105,106,num_word_similarity,20,3,polynomial,word-based,n50_de_bc,"[2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0]",1855.0,193.0,3.0
106,107,num_word_similarity,20,20,poly,sentence-based,n50_de_bc,"[11  6  1  1  1 12 10 15  1  1  1  1 16  7  1  1  1  3  6  1  2  1  1 19  1
 14 14  5  1  1  1  1  1  9 13  0 18 17  1 14  1  1  4  1  1  1 17 10  1  8]",773.0,71.0,1.0
107,108,num_word_similarity,20,7,poly,word-based,n50_de_bc,"[5, 14, 2, 2, 5, 2, 14, 2, 2, 14, 0, 14, 2, 14, 14, 2, 2, 2, 14, 2, 14, 1, 14, 14, 2, 0, 2, 2, 14, 2, 1, 11, 2, 2, 2, 2, 2, 2, 2, 14, 2, 14, 14, 2, 14, 2, 2, 2, 3, 2]",945.0,113.0,2.0
108,109,num_word_similarity,20,20,linear,sentence-based,n50_de_bc,"[ 9 11 15 18  2 14 10 14 12  2  2  2 19  2  2  2  2  4 11  5  6  9 17  2  1
 14  0 11 13 16  9  2  2  4 11  3  2 19  2 14  8  9 19  3  1  7 19 10  2  4]",341.0,77.0,1.0
109,110,num_word_similarity,20,12,linear,word-based,n50_de_bc,"[15, 4, 11, 11, 6, 4, 4, 4, 1, 8, 0, 0, 0, 0, 0, 4, 2, 4, 8, 2, 4, 9, 4, 9, 0, 14, 10, 0, 0, 2, 4, 6, 0, 4, 14, 4, 4, 0, 14, 4, 0, 9, 4, 3, 9, 2, 4, 9, 4, 9]",491.0,83.0,2.0
110,111,num_word_similarity,20,20,cosine,sentence-based,n50_de_bc,"[ 8  6  1 18  8 17 12 13 18  8  4  0 13 15  2 11  8 10 15  1 16  9  8  4  1
 11  0  5  2  1  9  8  2 10  5  3 14  6  2 11  7  9  7 11  1 18  7 19  8 10]",261.0,57.0,2.0
111,112,num_word_similarity,20,13,cosine,word-based,n50_de_bc,"[4, 18, 3, 1, 1, 1, 13, 13, 15, 13, 0, 16, 1, 1, 8, 4, 13, 1, 1, 6, 13, 12, 1, 1, 9, 12, 1, 13, 3, 6, 13, 1, 12, 9, 1, 1, 1, 18, 6, 13, 1, 3, 12, 13, 10, 4, 1, 13, 13, 1]",523.0,73.0,2.0
112,113,num_word_similarity,22,22,nearest_neighbors,sentence-based,n50_de_bc,"[12  5 16  0 13  7 20  1 10  4 13  0  1  1  4  8 13 20  5 19  1 12 18  7 14
 21  6  7  4  9 12 13 13  1  7  2 13 15  4 17  3 12  5  2 11  3  7 15 13 20]",273.0,53.0,1.5
113,114,num_word_similarity,22,13,nearest_neighbors,word-based,n50_de_bc,"[6, 6, 7, 7, 10, 6, 6, 6, 5, 7, 0, 4, 6, 7, 4, 2, 5, 6, 10, 6, 6, 3, 2, 7, 2, 6, 2, 6, 6, 7, 6, 3, 6, 16, 6, 20, 6, 7, 6, 1, 13, 6, 3, 9, 6, 6, 9, 6, 5, 6]",625.0,81.0,2.0
114,115,num_word_similarity,22,22,precomputed,sentence-based,n50_de_bc,"[19 14  2  2  2  3 16 20  2  2  2  2  6  9  2  2  2  5  9  2  0 21  2 12 13
  2 18 11  2  2 21  2  2  5  8 15  7 14  2  2  1 21 10  2  2  1  4 17  2  5]",591.0,71.0,1.0
115,116,num_word_similarity,22,16,precomputed,word-based,n50_de_bc,"[11, 0, 16, 0, 1, 12, 5, 17, 8, 0, 0, 12, 5, 4, 4, 2, 0, 12, 5, 3, 12, 15, 11, 5, 3, 0, 9, 4, 4, 0, 15, 8, 4, 2, 13, 2, 18, 19, 4, 11, 0, 8, 4, 0, 12, 12, 1, 12, 0, 18]",347.0,59.0,2.0
116,117,num_word_similarity,22,22,rbf,sentence-based,n50_de_bc,"[ 0  1  0  0 20 12  2  0  0  0 17  0  4 15 21  0 16  8  0  0 14  0  0  0  0
  0  0  9  0  0  0 19 18  6 11  0 13  0 18  0  0  0  3  0  0  0 10  7 16  5]",777.0,91.0,1.0
117,118,num_word_similarity,22,7,rbf,word-based,n50_de_bc,"[1, 1, 10, 10, 10, 10, 10, 1, 8, 10, 0, 8, 10, 10, 1, 8, 10, 10, 1, 10, 10, 1, 10, 10, 1, 8, 10, 10, 10, 10, 10, 2, 1, 10, 10, 1, 10, 1, 7, 8, 9, 1, 10, 1, 10, 9, 10, 1, 10, 10]",943.0,95.0,2.0
118,119,num_word_similarity,22,22,sigmoid,sentence-based,n50_de_bc,"[ 2 14  2  2 17  6  2 20  2 11 21  3  1  8  2  2  2  5 16  2 12  2  2  4  2
  2  2 15  2  2  2 18 19  2  0  2  9  7  2  2  2  2 10  2 13  2  2  2  2  2]",879.0,93.0,1.0
119,120,num_word_similarity,22,8,sigmoid,word-based,n50_de_bc,"[15, 15, 9, 9, 5, 15, 15, 15, 14, 15, 0, 7, 15, 15, 15, 15, 2, 15, 15, 9, 15, 14, 9, 15, 15, 15, 15, 15, 15, 15, 2, 15, 7, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 2, 11]",1253.0,141.0,2.0
120,121,num_word_similarity,22,22,polynomial,sentence-based,n50_de_bc,"[16  5 13 13 13  6  7  8 13 13 13 13 10 17 13 13 13  9  5  0  1 13 13 18  0
 19 19  2 13 13 13 13 13  3 11 20 14 21 13 19 13 13 15 13  0 13  4  7 13 12]",641.0,67.0,1.0
121,122,num_word_similarity,22,6,polynomial,word-based,n50_de_bc,"[12, 0, 1, 12, 2, 12, 12, 12, 4, 12, 0, 12, 12, 12, 0, 12, 5, 12, 12, 0, 12, 1, 12, 12, 12, 1, 0, 12, 12, 0, 1, 12, 12, 12, 12, 1, 12, 12, 12, 12, 1, 12, 12, 0, 12, 12, 1, 12, 5, 12]",1081.0,125.0,4.5
122,123,num_word_similarity,22,22,poly,sentence-based,n50_de_bc,"[16 18  3  3  3 14  6 10  3  3  3  3  8  7  3  3  3  4  9  3  1  3  3 17  3
 11 11 13  3  3  3  3  3 12  5  2 20  0  3 11  3  3 19  2  3  3  0 21  3 15]",721.0,71.0,1.0
123,124,num_word_similarity,22,5,poly,word-based,n50_de_bc,"[2, 14, 4, 4, 2, 14, 14, 14, 4, 14, 0, 14, 14, 14, 2, 2, 14, 14, 14, 14, 14, 2, 14, 4, 14, 14, 14, 14, 14, 14, 2, 2, 14, 14, 14, 14, 14, 14, 14, 14, 2, 4, 14, 14, 14, 3, 14, 3, 14, 2]",1101.0,151.0,5.0
124,125,num_word_similarity,22,22,linear,sentence-based,n50_de_bc,"[20  1 14  7  3  4  5  3  9  3  3 15  6  1  3 21  3  2  1  8 17  0 11  1 19
  4  4 18 16 13  0  3  3  2 18  6 15 18  3  4 10  0  6  6 19 12  6  5  3  2]",285.0,63.0,1.0
125,126,num_word_similarity,22,10,linear,word-based,n50_de_bc,"[6, 9, 2, 7, 2, 2, 15, 15, 11, 2, 0, 15, 15, 15, 15, 15, 6, 15, 2, 9, 12, 7, 12, 12, 0, 12, 15, 6, 15, 15, 4, 3, 2, 9, 6, 9, 15, 15, 15, 12, 15, 9, 7, 0, 15, 15, 12, 15, 6, 6]",515.0,83.0,4.0
126,127,num_word_similarity,22,22,cosine,sentence-based,n50_de_bc,"[ 1  0  1 15  1  6  9 14 15  1  1  1 14 12 17 21  1 11 12 19 10  8 20  1 18
 21 21  4 17  1  8  1 17 11  3 16  1  7 17 21  5  8  5 21 13 15  4  2  1 11]",325.0,59.0,1.0
127,128,num_word_similarity,22,11,cosine,word-based,n50_de_bc,"[12, 12, 1, 1, 17, 12, 12, 12, 3, 12, 0, 12, 12, 12, 12, 3, 1, 12, 12, 20, 12, 12, 12, 12, 12, 12, 12, 12, 4, 12, 5, 6, 11, 12, 11, 10, 12, 1, 11, 5, 0, 12, 12, 12, 5, 3, 12, 1, 5, 12]",837.0,109.0,2.0
128,129,num_word_similarity,24,24,nearest_neighbors,sentence-based,n50_de_bc,"[ 0  1 16 19  0  6 20 21 13  4  0  0  5  5  4  0  0 11  1  9  5  3 12  7  8
 17 23  6  4 18 22  0  3  5  6  6  1 14  4 10 20  3  1  5 15  2  1  9  0 11]",279.0,53.0,1.0
129,130,num_word_similarity,24,13,nearest_neighbors,word-based,n50_de_bc,"[1, 4, 5, 4, 2, 8, 8, 5, 6, 8, 0, 2, 8, 23, 4, 6, 8, 2, 4, 5, 8, 4, 15, 5, 7, 3, 2, 8, 4, 2, 6, 8, 4, 8, 1, 12, 2, 6, 2, 5, 4, 1, 4, 4, 4, 10, 4, 8, 7, 2]",449.0,61.0,2.0
130,131,num_word_similarity,24,24,precomputed,sentence-based,n50_de_bc,"[14 15  1  1 14 13 17  3 14 14 14  5  3  8 14  4 14  9 22  8 16 14  2 21 20
 14  5  7 14  5 14 14 14  9 12 18 19 11 14  2 14  4 23 14  0 14  6 10 14 10]",445.0,67.0,1.0
131,132,num_word_similarity,24,9,precomputed,word-based,n50_de_bc,"[4, 4, 4, 4, 11, 4, 5, 3, 2, 2, 0, 20, 4, 4, 2, 2, 2, 3, 4, 3, 4, 4, 4, 3, 4, 7, 2, 4, 2, 4, 7, 1, 2, 4, 4, 4, 4, 4, 2, 4, 4, 1, 5, 4, 4, 4, 1, 5, 4, 4]",783.0,109.0,3.0
132,133,num_word_similarity,24,24,rbf,sentence-based,n50_de_bc,"[ 1  0  1  1 20 12 11  1  1  1 17  1 14  4 21  1 23  9  1  1  8  1  1  1  1
  1  1  2  1  1  1 19 22 15  6  1  3  1 18  1  1  1 10  1  1  1  5  7 16 13]",773.0,91.0,1.0
133,134,num_word_similarity,24,11,rbf,word-based,n50_de_bc,"[22, 18, 5, 2, 22, 2, 2, 2, 22, 9, 0, 22, 9, 2, 2, 6, 2, 2, 2, 9, 2, 2, 0, 2, 9, 2, 17, 2, 2, 16, 2, 18, 9, 22, 2, 2, 2, 2, 15, 8, 2, 22, 2, 18, 8, 2, 9, 2, 2, 2]",787.0,93.0,2.0
134,135,num_word_similarity,24,24,sigmoid,sentence-based,n50_de_bc,"[ 0  4  0 17 22  6  0 14  0 13  0  7 19 16 23  0  0  8 12  0 11  0  0  2  0
  0  0 10 15  0  0 21 20  0  9  0  1  5 23  0  0  0  3  0 18  0  0  0  0  0]",739.0,83.0,1.0
135,136,num_word_similarity,24,8,sigmoid,word-based,n50_de_bc,"[22, 13, 13, 13, 6, 13, 13, 13, 5, 13, 0, 20, 20, 13, 22, 3, 13, 13, 13, 20, 13, 20, 13, 13, 22, 13, 13, 13, 13, 1, 6, 20, 13, 13, 13, 22, 13, 13, 13, 13, 13, 0, 13, 13, 13, 20, 13, 13, 0, 13]",1041.0,127.0,2.5
136,137,num_word_similarity,24,24,polynomial,sentence-based,n50_de_bc,"[21  6  0  0  0  2 11  8  0  0  0  0  9 17  0  0  0 10  6 14  1  0  0 15 14
 20 20  4  0  0  0  0  0  3 13 19 16 12  0 20 22  0 18  0  0  0  5 23  0  7]",647.0,61.0,1.0
137,138,num_word_similarity,24,5,polynomial,word-based,n50_de_bc,"[10, 10, 1, 1, 0, 10, 10, 10, 1, 1, 0, 10, 10, 10, 0, 10, 1, 10, 10, 6, 10, 1, 10, 10, 10, 10, 10, 10, 0, 10, 1, 10, 1, 10, 1, 10, 10, 10, 11, 10, 10, 1, 10, 6, 10, 10, 10, 10, 0, 10]",1051.0,153.0,5.0
138,139,num_word_similarity,24,24,poly,sentence-based,n50_de_bc,"[17  6  1  1  1  5 16  8  1  1  1  1  0  9  1  1  1 13  6 22  2  1  1 15 22
 21 21 10  1  1  1  1  1  4  3 19 12 20  1 21 23  1 18  1  1  1 14  7  1 11]",647.0,61.0,1.0
139,140,num_word_similarity,24,9,poly,word-based,n50_de_bc,"[19, 19, 19, 11, 13, 19, 19, 19, 5, 19, 0, 19, 19, 19, 5, 5, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 14, 19, 19, 7, 19, 14, 10, 19, 19, 0, 19, 5, 10, 19, 19, 19, 19, 19, 5, 19, 19, 19, 3, 19]",1207.0,131.0,2.0
140,141,num_word_similarity,24,24,linear,sentence-based,n50_de_bc,"[21 11  6 13  0 11 22 14 15  0  0  0  4  0  0 16  0  7 11  2  5 18  9  0 17
 14 12 11 19 10 18  0  0  7 11 20  0 11  0 12  1  8  4 23 17  3  8 22  0  7]",329.0,65.0,1.0
141,142,num_word_similarity,24,13,linear,word-based,n50_de_bc,"[3, 3, 21, 12, 6, 3, 3, 3, 3, 3, 0, 3, 3, 3, 15, 3, 3, 3, 15, 3, 3, 1, 3, 3, 3, 22, 1, 4, 3, 23, 3, 13, 3, 3, 3, 3, 3, 3, 2, 1, 1, 3, 23, 3, 3, 1, 6, 3, 7, 3]",987.0,111.0,1.0
142,143,num_word_similarity,24,24,cosine,sentence-based,n50_de_bc,"[ 1  8  6  6 15 14 22 18  4  8 15  8 18 23  5  2 15 10  8  1 13 11 21 15 12
  2  2  9  5  0 11 15  5 10 19 15  8  7  5  2 17 11 17  2  0  4 20 16 15  3]",265.0,51.0,1.5
143,144,num_word_similarity,24,14,cosine,word-based,n50_de_bc,"[15, 15, 13, 7, 16, 12, 15, 15, 2, 15, 0, 15, 15, 15, 15, 15, 5, 15, 1, 15, 15, 1, 15, 15, 14, 2, 2, 1, 10, 15, 3, 2, 10, 15, 15, 4, 15, 15, 4, 23, 15, 4, 2, 15, 15, 15, 2, 12, 15, 15]",763.0,93.0,1.0
144,145,total_set_similairy,8,8,nearest_neighbors,sentence-based,n50_de_bc,"[7 3 5 3 4 2 6 2 4 0 5 3 7 4 4 4 0 3 1 3 7 5 6 7 1 2 2 7 4 2 5 3 0 6 7 1 6
 1 4 2 3 5 7 3 6 4 1 6 0 7]",399.0,67.0,6.0
145,146,total_set_similairy,8,6,nearest_neighbors,word-based,n50_de_bc,"[3, 3, 7, 6, 6, 3, 7, 3, 3, 6, 0, 3, 3, 3, 3, 3, 6, 3, 3, 3, 3, 3, 1, 7, 3, 3, 3, 3, 1, 3, 7, 7, 1, 3, 1, 3, 3, 3, 3, 1, 3, 5, 3, 3, 3, 3, 7, 3, 6, 3]",1089.0,113.0,5.0
146,147,total_set_similairy,8,8,precomputed,sentence-based,n50_de_bc,"[2 5 1 1 7 2 7 2 6 4 1 0 2 7 3 6 4 5 5 0 2 1 7 7 5 2 2 2 3 7 1 0 3 0 5 2 0
 5 3 2 6 1 5 2 5 6 2 5 4 5]",415.0,85.0,5.5
147,148,total_set_similairy,8,6,precomputed,word-based,n50_de_bc,"[7, 4, 2, 5, 0, 1, 0, 1, 1, 0, 0, 7, 1, 2, 1, 2, 0, 0, 1, 1, 1, 1, 0, 1, 7, 1, 1, 1, 1, 1, 7, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 2, 1, 0]",899.0,107.0,4.0
148,149,total_set_similairy,8,8,rbf,sentence-based,n50_de_bc,"[1 7 2 2 5 1 1 1 0 6 2 7 1 3 4 0 6 3 7 3 1 2 3 7 1 1 1 7 4 1 2 3 4 7 7 1 7
 7 3 1 2 2 1 3 2 0 7 7 6 7]",487.0,85.0,5.0
149,150,total_set_similairy,8,5,rbf,word-based,n50_de_bc,"[5, 0, 0, 0, 0, 3, 0, 6, 3, 0, 0, 5, 3, 6, 6, 0, 0, 6, 0, 0, 5, 5, 6, 5, 3, 0, 2, 0, 6, 0, 3, 5, 6, 0, 6, 5, 5, 3, 0, 3, 0, 3, 6, 5, 6, 0, 0, 0, 0, 0]",779.0,77.0,9.0
150,151,total_set_similairy,8,8,sigmoid,sentence-based,n50_de_bc,"[0 0 0 5 3 0 0 0 7 3 0 0 0 0 3 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 3 0 0 0 0
 0 6 0 4 0 0 0 0 0 0 0 3 0]",1367.0,161.0,1.0
151,152,total_set_similairy,8,4,sigmoid,word-based,n50_de_bc,"[5, 5, 7, 7, 7, 5, 5, 5, 5, 5, 0, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 7, 5, 5, 5, 5, 5, 7, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 7, 5]",1571.0,177.0,4.0
152,153,total_set_similairy,8,8,polynomial,sentence-based,n50_de_bc,"[0 0 0 6 4 0 0 0 4 2 0 0 0 7 7 7 2 1 0 0 0 0 7 0 0 0 0 0 7 0 0 3 2 0 0 0 0
 0 7 0 5 0 0 7 0 7 0 0 2 0]",1061.0,127.0,1.5
153,154,total_set_similairy,8,6,polynomial,word-based,n50_de_bc,"[5, 4, 2, 2, 2, 6, 2, 4, 1, 2, 0, 4, 0, 4, 0, 0, 2, 4, 2, 2, 0, 0, 4, 1, 5, 6, 2, 4, 2, 0, 5, 4, 2, 4, 2, 5, 4, 5, 2, 6, 4, 5, 0, 2, 4, 0, 0, 2, 2, 2]",627.0,79.0,8.0
154,155,total_set_similairy,8,8,poly,sentence-based,n50_de_bc,"[0 0 0 6 7 0 0 0 7 1 0 0 0 4 4 4 1 5 0 0 0 0 4 0 0 0 0 0 4 0 0 2 1 0 0 0 0
 0 4 0 3 0 0 4 0 4 0 0 1 0]",1061.0,127.0,1.5
155,156,total_set_similairy,8,5,poly,word-based,n50_de_bc,"[5, 5, 0, 1, 5, 5, 5, 5, 7, 1, 0, 5, 5, 4, 5, 7, 1, 5, 7, 7, 1, 0, 5, 7, 5, 5, 5, 1, 7, 5, 5, 7, 4, 7, 5, 5, 7, 5, 7, 5, 7, 0, 1, 5, 1, 7, 1, 7, 1, 5]",731.0,113.0,9.0
156,157,total_set_similairy,8,8,linear,sentence-based,n50_de_bc,"[0 0 0 4 1 0 0 0 5 1 0 0 0 0 1 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 0 6 1 0 0 0 0
 0 7 0 2 0 0 0 0 0 0 0 1 0]",1367.0,161.0,1.0
157,158,total_set_similairy,8,6,linear,word-based,n50_de_bc,"[3, 3, 3, 1, 7, 4, 4, 4, 4, 5, 0, 5, 4, 5, 5, 5, 5, 4, 5, 4, 4, 3, 5, 3, 4, 4, 4, 5, 4, 0, 3, 5, 0, 5, 4, 4, 5, 3, 1, 4, 5, 4, 7, 4, 7, 5, 3, 4, 5, 0]",659.0,93.0,6.0
