ID,Solution Set: Group Experienced
22223300," unmanned, low cost, maintainence free, environmentally friendly - solar powered, umbrella for shelter, self-controlled quad copter large enough to sit more people, mass rapid drone? "
22223302," unmanned self-drive vehicle, solar engine plus water pressure, fly in the sky, on road and underwater, gps "
22223302, unmanned gps-guided centrally-controlled family car 
22223303, unicycle 
22223303, unmanned 
22223304, uni-cycle (wheel) 
22223306, underwater + surface + land 
22223306, underground ventilated track network 
22223307, underground tunnel vehicle 
22223307, underground singapore 
22223308, underground personal pod 
22223308, underground portal tube 
22223309, underground capsule (group or individual) 
22223309, underground capsule 
22223310, two-wheel smart electric scooter kiosk 
22223310, umbrella 
22223311," two-seater (like bikes) double decker cars > more lanes on road, reduced foot print per car "
22223312, turn the knob 
22223312, turbo roller blades 
22223313, tunnel system (long distance) 
22223314, tunnel 
22223314, tubes to transport people around 
22223315, tube/ high speed travellator throughout the country 
22223315," tube, gyro-platform, chair, sphere, self-driven "
22223316, travelators along linkways 
22223316, travellator 
22223317," travelators (walk way) in the city, to expedite walking pace "
22223318, travelator that is solar powered 
22223319," travelator powered by walking around singapore, personal transporter, exo-skeleton that move the user around faster than 30km/hr, enhance exo-skeleton project and build it for mission "
22223320, travelator 
22223321," travel overseas, luggage, passport and wallet, fussfree travel"
22223321, travel in straight line to reduce travelling time and distance 
22223322, travel by air 
22223323," transport- personal (affordable, small size, environmentally friendly, on-demand) - shared (public) - no need to travel (work from home, smart office, on leave) "
22223324," transport - motorised that utilizes the park connectors, personal "
22223324," transport system for singapore, inflated glider suit"
22223325, tiered roads for different destinations 
22223326," tier travel system, land, rail(MRT), sub rail tracks, MRT, road"
22223326, thought powered electric unicycle 
22223328, teleportation door 
22223329, teleportation device 
22223329, teleportation device 
22223332, teleportation 
22223333," teleport, beam me over "
22223335, Teleport here 
22223335, teleport hub 
22223336, teleport 
22223338, teleport
22223338, Tele-transportation AMK-internet-TP 
22223339," tele-presence work in-sity (from home), minimal travel "
22223339, tele-commute 
22223340," teeth for grip, 3 wheels for uneven terrain-adds stability, suspension-absorbs shocks, wings to fly, tightens when speed increase, close in to slow down"
22223340," tele transport, A> bus> B "
22223341, tarzan flying fox 
22223341," take 2dimesion transport to the next level, introducing 3dimension transport: to reduce traffic jam, cars can stack on other cars. Many more people in shorter traffic distance "
22223343," sustainable (renewable energy), pollution free "
22223343, switchable configuration 
22223344," strassenbahn, surfact train system with dedicated tracks "
22223345, step onto rail and go 
22223346, station
22223347, stacking of cars to utilise clear height of roads
22223347, spring 
22223348, spiderman 
22223349, solar solar 
22223350," solar panels, Li-ion battery, MEMs, regenerative braking "
22223350," solar panels, sail, for launch and recovery "
22223351, solar panel/ electric bike 
22223351," solar panel, remote sensor "
22223352, solar panel 
22223353, solar panel
22223353, solar panel 
22223354, solar cells 
22223355, solar cell 
22223355, SMRT app 
22223356," smart phone/watch, app to de-conflict flight path "
22223356, smart mini-buses 
22223357, small rack 
22223358, sliding here and there 
22223359, slides 
22223360, skycar 
22223360, sky travelator 
22223362," single seat flying device, low altitude, auto navigation "
22223363, single person motorised skate scooter with cover 
22223363," single person, motor shoes, remotes control, speed buttons "
22223364," singapore, china, america, russia "
22223365," short distance, all electric wheelchair/ children/ elderly friendly "
22223366, shoes that transports me on the surface and in the air 
22223367, shoeify 
22223367, shoes + rail 
22223368, shoe 
22223368," shield for accident, less to run, faster than car "
22223369, Sheltered bicycle 
22223370," sensors on floor, congestions info "
22223370, shelter 
22223371, self-driven vehicle from point to point 
22223371, self-driven that can slow down or move forward without petrol or gasoline (environmentally friendly)  
22223372, self route optimization based on knowledge 
22223372," self propelled, boat & travel by canals, interconnected canals, singapore "
22223373," self lubricating oil, AI (robot) "
22223376, seats available mobile app 
22223377, sea 
22223377, sea 
22223378, scooter 
22223378," Scooter Rental Kiosk, MRT/ Bus stop "
22223379, safety net 
22223379, safety nets 
22223380," safe, privacy "
22223381, rotate and use as propulsion 
22223381, rolling transporter 
22223382," roller capsule?, your transport can be shrunk, parking is no longer a constrain "
22223383, rocketeer 
22223383," rocket, falcon "
22223384, rocket power
22223384," robot_me, home, helmet "
22223386," road, water "
22223386, riverlator 
22223388, retractable wheels 
22223388, retractable wheels
22223389, retractable travelator 
22223390, retractable gilder 
22223390, replace with guiding/ electronic lanes 
22223391," replace car, personal carriage "
22223392, rentable electric scooter of docking stations 
22223392, remote control 
22223393, reduced height 
22223393, Rapid Projectile passenger ccapsule 
22223394, public segway 
22223394," public driverless vans that bring people directly to their destination, users to input travel destination - calculate best route "
22223396, propellor shoes 
22223396," propellor, rollers, wing"
22223397, propellor backpack on roller 
22223398, propeller boots 
22223399, powered chair 
22223401, portal 
22223401," point-to-point car rental (pick up at A, drive to B, drop off) "
22223402, piao piao 
22223403," Personalised, individual pods, charging pods, wifi "
22223403, photochromic (aka transition) windows -no more glare in the eyes 
22223404," personal, portable, compact, equipment, foldable, portable bicycle, lightweight, fold into brief case size "
22223404, personalised drone with VTOL to take me anywhere 
22223405, personal ways to fly around 
22223405, personal transport: e-scooter> longer endurance 
22223406, personal train cabin 
22223406," Personal transport for 2020: Car>Ship>Self-airplane, Transformer 'CSP' "
22223408," personal motorised levitation platform, electric rail "
22223408, personal mobility vehicle 
22223409, personal mobility device 
22223409, personal mobility platform 
22223410," personal latch-on conveyor system,miling "
22223410, Personal jet pack 
22223411, personal jet 
22223411, personal hovercraft 
22223412, personal flying device 
22223414, personal copter 
22223415," personal autonomous scooter, shared scooters "
22223416," People, Bicycle, Car "
22223416," percopter, singular helicopter, gps "
22223417, PC9 fellow 
22223417, passenger planes from one destination to another to replace bus 
22223418, passenger drone 
22223419," Pair of wings to each person, foldable wings that can be activated as and when we want, remote control the wings to attach it to the person "
22223419," parachute flying chair, fan "
22223420, outer layer for forward movement 
22223421, or anti-gravity
22223422, on-board entertainment system 
22223423, not for owyong heng
22223423, nuclear powered hovercrafts 
22223424, no rail system
22223424," no queue, fly "
22223425, No need transport > work from home teleconference 
22223426," no electricity, solar, pedal, wind powered "
22223426, nike 
22223427," news screen, gps "
22223428," network/grid, 'criss cross around island' mobile app with location based information, trigger journey regulates and system will route pod to you "
22223429, navigation on sea 
22223430, nationwide electric scooter rental scheme 
22223430," national travelator grid, home, MRT/ LRT station "
22223432," MRT: creating more space, cramp, build rails on top. two rails "
22223432, MRT tunnels 
22223433," mrt station> housing building, high-rise cables to reduce congestio, transportation like cable cars "
22223434," MRT shoe card, device"
22223434, mrt lines 
22223435," MRT cabin to selected location shared by many people, only stop at selected specific location. Else, by-pass the station "
22223435," MRT Ferry system, shelter "
22223436," moving plate, seat, control, luggage "
22223436, moving house on sea/ land 
22223438, motorised stand-up board 
22223438, motorised shoes with wheels 
22223439," motorised scooter, owned/ rental "
22223440, motorised bicycle 
22223440, motorised bike available islandwide. Free to use 
22223441, motor wheels integrated with shoes 
22223442, motor 
22223443, modular train system detachable & individual 
22223443," monster inc doors (keep out, jacinta) "
22223444, mobile threadmill 
22223445," mobile office, driverless, autonomous vehicle"
22223445, mobile parachute 
22223446, mini aircraft jet engine 
22223447," massage chair, auto moving shoe "
22223447, mass teleporting
22223448, maomao transport system 
22223448," mail box, crane"
22223449, magnetic-float transport system 
22223449," magnets, cabin "
22223450, magnetic shoes 
22223450, magnetic vehicle 
22223451, magnetic hoverboards - car surfing 
22223452," maglev cars, magnet strips underground "
22223453," magic route: like high speed rail with magnetic shoes to speed up, just like skating "
22223453, magic door 
22223454, magic carpet
22223454, magic carpet 
22223455," look like helicopter, flying car "
22223456," like a kite, remote control for the flags "
22223457," life-size telepresence, segway-like "
22223458," levitation shoes, shoes with magnetic sensors to float above ground "
22223458, levitating/ flying 
22223460, levitating board 
22223460," levitating boots, magnetic lane "
22223461," leverage existing high grounds, convert potential energy = kinetic energy "
22223462, last minute transportation 
22223463, last mile single seat mobile driverless device at MRT stations 
22223463, land 
22223464," kickboard/bicycle, office, home, walk distance/ cycle distance, boat, home/office"
22223465, just make it into shoes 
22223465, kangeroo hopper 
22223466, ji-ba-boom
22223466," jurong, pasir ris, mobile sidewalk "
22223467," jetpack/ hoverboard (solar-powered), air traffic regulator to be put in place "
22223468," jetpack, jettison fuel tank "
22223469," jetpack, glider to save energy when coming down "
22223470, jetpack 
22223474, jetpack 
22223475," jet pack, parachute in case of failure "
22223475, jetpack 
22223476, jet pack 
22223477, ironman suit 
22223477," iron-man gloves + boots, use B-field "
22223478, iron man 
22223478, iron man exo-suit 
22223479, Iphone 
22223480, interconnected waterway/ canals with ferries/ hovercrafts 
22223480, intelligent transporter cell that travel through ocean/ river/ water 
22223481, infrastructure based systems that plots route of 'least resistance' & transmit 'real-time' to user 
22223482," info-enabled transportation, clustering "
22223482, increase use of sea route 
22223483, hyperloop.sg: travel from boonlay to changi in undr 5 mins (west to east in 5mins) 
22223485, human on wheels 
22223485, human quadcopter 
22223486, Human conveyors 
22223487, how to dismount
22223488," hovering surf board, use harmonic levitator technology "
22223489, hovercrafts 
22223489, hovering pods 
22223490," hovercraft, handle for better balancing "
22223491, hoverboards (solar powered) 
22223492, hoverboards
22223493, hoverboard (self-navigating) 
22223494, hoverboard 
22223496, hover platform for individuals
22223497, hover car 
22223498, hover bicycle on travelling networks 
22223498, hover bike 
22223499," house, sensors map route, 4 wheel vehicles to tranport possengers on pre-planned route following sensors (no driver required), destination "
22223499, horse riding 
22223500, hop on and off for hitch-hikers 
22223500, home> teleport> office 
22223501," hologram - usa,singapore,china  "
22223503, High technology roads > Travellator roads 
22223503," high speed travelator, train "
22223504, high speed express train between exchanges of MRT 
22223505, helmet 
22223505," helment, jet suit "
22223506," helicopter, can land anywhere "
22223507, heli-transporter 
22223507," helicopter + car to travel via ie & land, rotateable blades "
22223508, heli-transportation 
22223509," HDB, HDB, HDB "
22223510," harness network, underground, underground station "
22223510," handle, seat, single wheel bicycle with seat and shelter "
22223511, hand device-vibrate when it is time to go to catch bus before you will be late for work 
22223511," hand-motion ( to turn left, right, up, down), motor, solar panel "
22223512, Hamster wheel mover 
22223513, gun 
22223513, green (battery operated)
22223514," gps, ironman suit "
22223514," gps, SG100"
22223515, GPS that able to detect the ERP is still on plans escape route to avoid the gantry or make to car invisible to avoid payment at ERP gantry
22223516, go anywhere magic pocker 
22223516, gps 
22223517," glasstube, vacuum, low friction, suction, destination "
22223518, get-engine 
22223519," full underground transport network at every HDB block/ shopping centers, driverless high speed rail tech for 3-4 pax @ 30 seconds interval "
22223520, fuel cell enabled power 
22223522, four directional hamster ball 
22223522," for the young or young at heart, swing between buildings "
22223523, folded wing 
22223523, foldable skateboard 
22223524, foldable car - safe carpark space 
22223525, flying wearables 
22223525," flying surfboard, large enough for additional dog "
22223526, Flying suit - reach a place with a touch of a button 
22223526, flying skateboard 
22223527, flying skateboard 
22223528, flying saucer 
22223529, flying personal pod 
22223530," flying fox from 1 site to another, flying fox tower, can change direction to another center, controlled by computer for the change, main points/ centers "
22223530, flying multi-modal transporter 
22223531, flying fox 
22223532, flying cars
22223532, flying chair 
22223533, flying carpet/ foldable 
22223535, flying by car 
22223535, flying car
22223536, flying balloon 
22223536, flying board 
22223537, fly packs 
22223537," flying backpack, collapsible wings into the backpack when kept "
22223538, float transport system
22223538, Fly bag 
22223539, extended arm to move vehicles away 
22223540," exo-skeleton, all terrain esp urban, stairs, etc, high speed, compact all-day fuel cell, hydraulics, all-terrain footwear "
22223541, escalators linknig singapore 
22223541, exo-skeleten to reduce tiredness for walking 
22223542, escalator for pedestrians 
22223543," ERP kind of gantry where people can just enter & exit train without the need to stop anything, MRT entry/exit "
22223543," ERP, team catering "
22223544," entry to travelator, solar travelatoe along major roads "
22223544," environmentally friendly, expansion of PCN concept, usage of bicycles"
22223545, enhance logistics > move the things you need to you 
22223546, elevators that moves sideways instead of vertical
22223546, enclosed for comfort sensors for gradual breaking 
22223547, elevator 
22223548, electromagnet 'repels' like Japan's bullet trains 
22223548, electromagnetically couple onto 'transport of opportunity' 
22223549, electrical/ propelled roller blades 
22223550," electric shielding, ball transportation (off guard) "
22223550," electric scooters that are small and you can charge anywhere for short distances, easily foldable and lock, light, charging points at various spots "
22223552," electric rental car service pay as you use - pavement, charger, electric cars "
22223553," electric car, electric induction "
22223553, electric personal lift 
22223555, east west
22223556, Dustbin(Sensors humans) auto-open to throw trash 
22223556, dynamice traffic lights > lights based on traffic flow for entire system 
22223557," during haze period,  … indonesia "
22223557, drones (pedal powered) 
22223558, drones 
22223558," drone, drone controller "
22223559," drone system, 500m above ground, interchange "
22223559, driverless vehicles or robot drivers 
22223560, driverless vehicle 
22223561, driverless uber cab service with sensing for smooth traffic management 
22223563," driverless car, drive without license because I have no driver's license "
22223567, Driver-less cars
22223567, driveless transport ports 
22223568, double decker MRT 
22223568, double decker train 
22223569," doraemon, can fly"
22223571," dial-a-bus, driverless, auto car-pooling, no parking, priority bus lanes, friendly app, public transport pricing, large scale optimisation "
22223572," device replace carkey/ finger print concept, etc "
22223572, detachable 
22223573," dedicated lanes/ roads, electric trams? "
22223573," cycling, walk path usuage "
22223575, cooler box
22223575," covered, all weather bike "
22223577, conveyor belt network 
22223577, control
22223578," concrete jungle walk, HDB>steel ropes>HDB "
22223579," compressible car to fit into tight parking lots, car has internal parts that can be adjusted to reduce width "
22223580," cloud, infrastructureless, not bound by roads/ tracks "
22223580, collapsible automobile 
22223581, cheap/ inexpensive 
22223583," cashless, cardless payment - payment made with fingerprints "
22223583, cars with wings 
22223584," cars of different size that can travel on top of another, optimise road space "
22223585," carrying handles for pick-up at transport route, personal pod for short distance (<5km) movement, from home to transport node, spherical wheels for omnidirectional movement (parallel parking becomes a breeze), lithium-ion batteries in base for stability, regenerative braking, transport node, picks up personal pod and moves to whichever node required, main paths use underside of MRT infra, small branches for minor route "
22223585," cars able to take mrt to go to accessible places, and move off from there "
22223586," carpooling system ie, when capacity of vehicles is reached, the vehicle will move to its destination, online registration system to arranf carpool before hand to save time "
22223587," capsule, air"
22223587, car to go to destination -for shopping/ supermarket - order at home
22223588, capsule vehicle
22223588, capsule tube 
22223589, can pick people along the way 
22223589, cannon ball capsule 
22223590," can fly, can hover, wings "
22223590," can land aircraft as well, park in the sky "
22223591," can be done!, big ball "
22223592, cable chair 
22223592, cable shi 
22223593, cable cars that link between buildings 
22223594," cable car system, automatic, building to building "
22223596," bus, car, rail track "
22223597, bus parasailing 
22223597," bus can expand size based on capacity, less people bus occupy less space, more people, bus expands "
22223599, break a hole in the wall
22223600," boots, programmable route, gps integrated"
22223600," body suit that allows person to fly, solar cells "
22223601," boat bed, air conditioned, noise cancelling environment "
22223602," bikes, human cells "
22223603, big bird
22223603," bicycles that run on public rail networks, using existing electrical infrastructure to run & charge the bicycle, electricity, conducting wheels"
22223604," bicycle paths island-wide enforce 'no cars' zone within towns, with exceptions for disabled/ handicapped "
22223605, bicycle + bus 
22223606, bicycle 
22223606," better use of park connector, roller blades "
22223607," beam me up scotty, destination a, destination b "
22223608, balloon 
22223609," avenue 1, hoverboard, magnetic floor "
22223610," automobiles with flight capabilities, radar system, anticollision, mse system, sky elevator "
22223610, autonomous trains that (???) 
22223611, automatic lane extension 
22223611," automatic levitating above other vehicles to save road space, pad to help levitatge other cars above it, levitating, levitating car park saves space "
22223612," automated, just key in and it bring you there. Don’t have to control and do your things while travelling eg. Watch movie "
22223612, automated driving 
22223614," automated car seat, autonomous, anti-collision, driver car seat "
22223614," Auto-sensing brake, gps "
22223615, auto sms to boss when trains 
22223615," auto-driven, bump protection, distance sensor to other object"
22223616, auto car without driver 
22223617, anti-gravity craft 
22223617," attachable robotic legs that walk 60km/hr, logic will get you from a to z, imagination will get you everywhere "
22223618, ang mo kio station --- depot road station 
22223618," an app to replace the ez-link card, the app can be downloaded easily to the hp, we just need to flash the hp when boarding and alighting public transport, using SIM instead of app (for non smart phone) "
22223619, amphibious car (use canals and waterways to ease road congection) 
22223619," all-weather, covered electric (solar powered) bicycle/ scooter (can stand or sit) "
22223620, aladdin mat 
22223621, aircon 
22223622," air, sea & land transporter "
22223624, air cushion slider 
22223624, air engine with CDCA 
22223625, aerodynamic 
22223625, add turbo power for speed 
22223626, add bicycle-only lanes and express ways - encourage bikers 
22223627, a special lane for 1-man vehicle that runs on solar power 
22223629," 3km/hr, 11km/hr "
22223630," 3D print yourself, clone multiples of yourselves, clone wars!, be everywhere "
22223630, 2 seater rail 
22223631," 2 rows of MRT, above, bottom "
22223631, 2 seat helicopter 
22223633," 1. Get in vehicle, 2. vertical boost in ballistic path, 3. arrive roughly where you want to go, 4. drive to exact point "
22223635, 'wings' on human 
22223636,"  high speed capsule (can fly, invisible air route) - select where you want to go, pay as you fly "
22223639," a pair of shoes that is motorised and bring us around instead of walking, the remote control is our watch, removable wheels - attach only when needed"
22223639," 2. express long haul to major hubs (waterways, canals > speed boats) "
22223640, a system where every car is a taxi 
22223640," a watch that serve as a navigation aid, never runs out on battery, no need to charge "
22223641," aerial system, retrievable wings, fast car, no COE, diesel/ gas, can run on water "
22223642, affordable segway 
22223643, air filter to trap pm2.5 particles 
22223644," air, feather floaring around"
22223645, all island travelator
22223645," all segway transport system, no cars "
22223646," amk street 21, see where your bus is exactly "
22223647, amphibious car 
22223648, arm strong flying kit 
22223648," apps, people request take a lift, matching between driver/ journey "
22223649," attachable wheels to shoes, self powered "
22223649," attachable 'roller' shoe that allows people to 'attach' to buses that travel in the neighbouthood estate in reasonable speed, cant too fast, people can attach to the bus anytime to avoid chasing for bus "
22223650, auto tracking shopping cart that follows you in shopping mall 
22223650," auto rollers attachable on shoes, multi terrain"
22223651, auto-vegetable washer 
22223651, auto-balancing to avoid falling 
22223652, autonomous flying vehicle 
22223652," automatic cars, environmentally friendly, fast, no need pay COE, everybody "
22223653," autonomous, every vehicle travel at optimum speed, each vehicle slot in and out, connected thru magnetism "
22223653, autonomous last mile transporters eg. Google car /Ez-10
22223654," ball, windows, sea, propellor"
22223655," bedroom, spa, entertainment"
22223659, build with solar panel 
22223659," bullet cars without wheels, save energy "
22223660, bullet trains 
22223660," Bullet Train, magnetic repulsion "
22223661," bus which runs on the main road, allowing public car to run within them ( saves space for extra road) "
22223662, buses that have storage for bicycles 
22223663, cable traffic
22223663," cable everywhere, zorb ball "
22223665, canisters 
22223665, canoes in the drain 
22223666," capsule high speed tube, low pressure tube magnetic accelerated "
22223667, car that can also fly 
22223668," car-free zone, car at underground road, surface car-free, car at the underground"
22223669, catapult system 
22223671," compact urban transporter, battery operated, ecofriendly, maximise capacity "
22223671, Common pool of GPS guided vehicle 
22223672," controlled flow of water, park connectors with waterways"
22223673, conveyor belt 
22223674, conveyor belt travellator
22223675," Data,data,data, into dedicated public transport, carpool"
22223675, cross country under water capsule 
22223676," dedicated network, sheltered bicycle pathways with huge fans and air purifiers "
22223677," dedicated track for transporting people to short distance, sit scooter, hand scooter, lock on automatic cycling track "
22223677," demand based shuttle buses for estates, each individual can register interest and pre-fix a timing, bus will move with a minimum number of passengers "
22223678, demand-driven bus/train/services cae (cab) 
22223678," Designated road lanes for portable transport device. Eg - Bicycle, electric scooter"
22223679," destination, underground tunnel, transport bed, rollers, high pressure or pushing transport loads "
22223679," destination aggregation despatch system, vertical(lift) >horizontal travelling (train), destination east, destination west"
22223680," don’t travel, work from home only come to office when required"
22223681, double decker MRT train 
22223681, door to anywhere 
22223682, double decker roads 
22223683, double layer highways + specific lanes for different types of vehicles 
22223684," driver, flaps, detachable flying carriages "
22223684, driveless car + plane + ship
22223685, driverless car 
22223686," driverless electrical car, motorised"
22223686, driverless cars or bus 
22223687, driverless motorcycle (3-wheel) running on 1/2 car lane on all streets (safety) 
22223688, driverless vehicles 
22223688, driverless trams 
22223689, drone that can carry a 100kg payload (big headache for transport minister to regulate traffic in the air)
22223690," DSTA, Jurong, Orchard, Changi"
22223690, drones
22223692, electric powered wings 
22223693, electric tricycle
22223694, elevated buses (maximise road space)
22223694," electrical monorail within towns to discourage cars. (like conveyor belts, they slow down at locations but never stops "
22223695, encapsulation of transportation devices 
22223696," exchange house via online system, office 1 is near house 2, office 2 near house 1 so 1&2 switch houses."
22223696, everyone got a skycar 
22223697, exo-skeleton legs > runs to your place effortlessly
22223700, fast craft
22223701, fireplace teleport of harry potter 
22223701," fast, convenient for user "
22223702, floating on air 
22223702, floating autonomous pods 
22223703," fluffy 'cloud' materials, legs can be embedded into cloud for stability, interface to customise:UI, hovers above ground/ air transport, flying carpet mode/ winged horse mode "
22223704," fly over land, water "
22223704," fly whole house (kitchen, bedroom, bathroom, entertainment room) "
22223705," fly, fly path "
22223705," fly-bed, air conditioned, noise cancelling environment"
22223706, flybag
22223707, flying and floating - powered by natural gas
22223707, flying car 
22223708, flying car 
22223708, flying car 
22223709, flying car 
22223710," Flying Car(Electric powered, no pollution), GPS"
22223710," flying carpet, disclaimer: I'm not an engineer"
22223711, flying cars 
22223713, flying fox 
22223714, flying fox style 
22223715," flying house with tracking device (always changing address), can travel anywhere in the world, no need to uproot"
22223716," flying pack, handheld remote control or body motion sensor for stability, gyro"
22223718, flywheels 
22223719, fold-able 
22223720, foldable car 
22223720, foldable motorised/ electrical bikes 
22223721," for the ruling class, personalised mobility pod, travel in air con comfort! "
22223722," fuel system, secondary backup power "
22223723," google car, smart cars, autodrive "
22223724, gps 
22223724, gps 
22223725," gps location updates, gyroscope, rechargeable "
22223726," GPS, driverless/ single man flying craft, hovercraft"
22223726," green transportation system, noise-less, pollution free"
22223727," group/ family vehicle, enclosed version, (???) "
22223728, gyrocopter 
22223729," half the size of car, top view, side view "
22223731, Heli-hat
22223731," have a chip inserted beneath you skin & link the chip to you bank account to automatically deduct the fare, chip"
22223732, helicopter suit
22223733, high gear ratio mono-cycle 
22223734, high speed MRT 
22223735, hot air balloon 
22223736, hot air balloon with thruster for direction control 
22223736, hover bus above cars 
22223737," hover shoes, air padded for comfort "
22223738, hoverboard
22223739, hovercar 
22223739," hovercars, with airborne lanes "
22223741," hyperloop: capsules ride on air cushion by linear induction motors and compressed air, capsule container to contain passenger, idea similar to antimatter creation device, horse hadron collider "
22223741," if more people, stack up"
22223742, individual flying propeller
22223743, inflatable rolling car-ball
22223744," instead of people move, things move to people, humans are designed to move around by own means - legs "
22223744," intelligent vehiccles with no traffic light system, ensure that pedestrians have special routes for travel (not on road)"
22223745, island wide bicycle system 
22223745, iron man 
22223746," island-wide travelator, a travelator that is linked to all parts of the country "
22223747, jetpack
22223747," jet skies, use major rivers as highways "
22223748, jetpack
22223748, jetpack
22223749," jetpack, automated navigation, anti-collision system "
22223750, land
22223751," land, superfast travellator + transportation trolley (with seatbelt) "
22223751, large scale travelators withing towns 
22223752, lavitator pods 
22223753, levitating scooter
22223754," levitating wheels, no more punctured tyres "
22223755, lift
22223755, levitation/ jet packs 
22223756," lift capsule, underground"
22223757, light and durable material
22223757," lightweight, foldable "
22223758, lite 
22223758, long distance flat escalators systems (underground) with movable shelter (point a to b) 
22223759, made in china
22223760, magic carpet bring you to your destination
22223761, magnet 
22223761," magic carpet: using high performance material, solar panel or piezoelectricity for power, roll up for every storage, aerodynamic aerofoil structure "
22223762, magnetic levitation hoverboard 
22223764," main train car moving along roads - similar to bus service, capsules will be transferred to other train crs to let capsule reach destination, personal capsules attached to train car, like passenger getting on a bus "
22223765, maps select the destination and will be transported to the venue
22223765, mary poppins!
22223766, mass transportation conveyor belt driven vehicles 
22223766, matrix
22223767, mind travel
22223767, Mechanical Wings
22223768, mini skateboard 
22223769," minimize personal travel, work from home/ shop online "
22223770," modular transport vehicle to cutomise to different needs (eg more people add more cabins, less people smaller road footprint), mass produce modular components to bring down cost and inter-operability "
22223770, moblie device 
22223771," modular/ container homes, mover service to relocate home next to your destination, eg. next to office, 'slots' available to slot in entire home units "
22223772, Motor-skater
22223772," motorised rollerblade shoes, different from rollerblades as wheels are on the side allows better balance "
22223773, motorised scooter 
22223774, motorised wheel
22223775," moving travelator, stop button, massage capabilities "
22223776, mrt station: gantry free with face recognition system 
22223776," MRT that stops under your home, massive integraed under-ground tunnels for MRT (singapore) "
22223777, multi cabin lrt 
22223778, multi-level expressway 
22223779, multiple warheads to clear obstacle
22223780," network of driverless electric vehicles on existing roads, each mahor road will have fixed pods travelling to and from one node to another"
22223780, neezha wheels
22223781," no need transport, live in the matrix, telepresence "
22223782," no traffic jam, all terrain climb stairs "
22223783," non-stop step-on step-off buses, analogy- moving travelators "
22223784, non-stop trains/ bus (interchangeable wagons capsules) 
22223785, nuclear powered segway limitless source of power
22223786, on demand 
22223786, on demand/ dynamic transport planner 
22223787, open up canal network for travelling 
22223788, pedal if there's no wind. Utilize wind power 
22223790, personal drone device 
22223790," personal balloon, with propulsion, nice view "
22223791," personal flyer/ rocket, collaboration transportation, smart swarm transportation "
22223793, personal jetpack
22223794, personal SMRT 
22223795," personal transport by standing on top, levitate, propulsion system"
22223796, personal tri-copter 
22223797," power source, right steering, left steering, similar to segway "
22223798, pt a > teleport > pt b
22223799," public gps screen on bus to show current location, accessible from mobile phone "
22223800, rainbow jet pack
22223800, remote controlled or autonomous transportation that senses where the passenger wants to go
22223801," remote hand held device to control speed, lightweight/ portable, your own shoe, strap, motor, sensors, powered by motor, wheels "
22223801," rent out personal mobility devices at interchanges/ stations, person, mobility device, tap/scan system to draw out device, additional roadspace/ walkway above roads > avoid traffic jam/ human jam "
22223802," replace mrt with conveyor belt, more 24/7 > everybody have a seat and o wait "
22223802," retractable wheels for land, arc like feature to thread through water, activatable floats > bad 'ponding' situation "
22223803," road, river, air "
22223803," roads for cars, pathway for alternative transportation devices eg. Bicycle, scooters, pedestrians walkways "
22223805, rocket engine 
22223806, rotary road
22223808, scooter 
22223810, seamless transfer between different MRT lines > a carriage that separates and continue on another line 
22223811," segway? Motorised? To move faster, HDB, flying fox, mass transit helicopter, need landing helipad, say from east to Tuas?"
22223812, self-propel
22223812," self-driven vehicles, vehicles guided by sensors, embedded"
22223814, shark-mobile 
22223814, share-a-car-share a bus
22223815, shelter
22223816," shoe, fire fire "
22223816, sheltered public travellators
22223817," single person, slim chair, remote control, climb, speed "
22223817," short distance, motorised skates "
22223818, single row bus to save space 
22223819, skateboard ( with motor) 
22223820, smaller cars
22223821, solar charge up buses & depot 
22223822, solar efficient solar powered roller shoes + charge as you skate
22223822, solar panel 
22223823, solar panel wheelchair 
22223824," solar powered bicycle, external solar power, solar powered suit that you wear"
22223824," solar powered flying bicycle (foldable wings & bicycle), solar cells "
22223825, solar- powered bicycles 
22223825," space, solar cell "
22223827, special scooter only lane on roads and expressway 
22223828, spheres moving people around 
22223828," stabilised seats in transit, mobile home "
22223830, star wars/ bullet train
22223830," stay at home, home delivery "
22223831," street-level, village-level, chauffeured drive vehicle fleet "
22223832, super light and extendable personal device 
22223832," submarine + car, to travel via sea & land to reach next destination "
22223833," surface to stand on, fan blades, handle, controller/handle for stability "
22223834, sushi bar concept 
22223834, surfboard 
22223835," switch off handphone/ internet, device to detect food heat and switch off the internet connection "
22223836," system, teleporter"
22223836," system, train, enter from on side, exit fron the other"
22223837, tarzan swing
22223837," tele-wokring, tele-living > shared office space, work from anywhere, shop from nearest regional centre, amenities from very near regional center -- same transport system but much less travelling "
22223838, teleport 
22223839, teleport (home>dsta)
22223839, teleport 
22223840," teleport tunnel, entry to next destination, tunnel generator"
22223840," teleport, sends dna data over, teleportation "
22223841, teleportation
22223843, teleportation fates/ portal via underground tunnels 
22223843, teleportation device 
22223844, teleportation lifts 
22223844, teleportation pad 
22223845," teleportation, btw planets "
22223846," temperature sensor, wings, (to provide you with info eg. Traffic, arrival time etc) - LCD screen, wings fly if roads are congested "
22223846, telepresence 
22223847, thought powered shoes 
22223848, tiger can climb trees 
22223848, time travel machine
22223849, time-machine 
22223850," trains that transit from land to water, on wheels > air propulsion like hovercraft? "
